#miRNA	read_count	precursor	total	aaa	aab	aac	aad	aae	aaf	aag	aah	aai	aaj	aak	aal	aam	aan	aao	aap	aaq	aar	aas	aat	aau	aav	aaw	aay	aaz	aba	abb	abc	abd	abe	abf	abg	abh	abi	abj	abk	abl	abm	abn	abo	abp	abq	abr	abs	abt	abu	abv	abw	aby	abz	aca	acb	aaa(norm)	aab(norm)	aac(norm)	aad(norm)	aae(norm)	aaf(norm)	aag(norm)	aah(norm)	aai(norm)	aaj(norm)	aak(norm)	aal(norm)	aam(norm)	aan(norm)	aao(norm)	aap(norm)	aaq(norm)	aar(norm)	aas(norm)	aat(norm)	aau(norm)	aav(norm)	aaw(norm)	aay(norm)	aaz(norm)	aba(norm)	abb(norm)	abc(norm)	abd(norm)	abe(norm)	abf(norm)	abg(norm)	abh(norm)	abi(norm)	abj(norm)	abk(norm)	abl(norm)	abm(norm)	abn(norm)	abo(norm)	abp(norm)	abq(norm)	abr(norm)	abs(norm)	abt(norm)	abu(norm)	abv(norm)	abw(norm)	aby(norm)	abz(norm)	aca(norm)	acb(norm)
hsa-miR-149-5p	17.00	hsa-mir-149	17.00	1.00	0	1.00	0	0	0	0	1.00	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	2.00	0	0	0	0	3.00	1.00	0	0	0	0	0	1.00	0	1.00	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	2.00	0.08	0	0.07	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0.07	0	0.07	0	0	0.16	0	0	0	0	0.32	0.08	0	0	0	0	0	0.09	0	0.09	0.09	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0.17
hsa-miR-150-5p	90541.00	hsa-mir-150	90541.00	794.00	1065.00	1892.00	1443.00	383.00	1278.00	1260.00	1695.00	1711.00	2947.00	1226.00	2852.00	4526.00	2230.00	118.00	1409.00	3152.00	1227.00	3333.00	1892.00	1022.00	2311.00	1601.00	2753.00	3037.00	2216.00	1384.00	3193.00	2570.00	2807.00	1865.00	1703.00	3036.00	2232.00	1770.00	1435.00	2171.00	1624.00	1062.00	2161.00	1548.00	499.00	685.00	311.00	513.00	2373.00	373.00	282.00	373.00	408.00	1441.00	3349.00	61.38	75.60	140.95	104.42	26.34	86.95	82.86	134.93	122.96	202.14	97.36	211.27	169.62	167.89	8.03	101.82	230.26	100.64	244.75	146.62	80.33	184.05	125.72	221.11	229.19	194.57	147.02	256.14	218.69	271.76	169.06	148.04	261.92	208.94	146.19	127.55	189.90	135.30	89.83	170.27	109.60	34.56	51.77	22.43	39.12	197.68	27.59	20.52	29.23	27.69	111.10	280.75
hsa-miR-151a-5p	204275.00	hsa-mir-151a	204275.00	5605.00	2909.00	3317.00	3457.00	3826.00	5886.00	4563.00	2623.00	3370.00	3892.00	4762.00	3535.00	5667.00	4811.00	783.00	4911.00	4147.00	2676.00	4636.00	2971.00	3965.00	5717.00	4145.00	3660.00	3788.00	3498.00	4879.00	3717.00	3404.00	3403.00	2813.00	3826.00	3353.00	6080.00	3779.00	1579.00	3563.00	3360.00	3130.00	2547.00	2944.00	880.00	2497.00	5506.00	5372.00	5800.00	2818.00	3825.00	4001.00	6189.00	4722.00	7168.00	433.27	206.50	247.10	250.16	263.15	400.48	300.06	208.81	242.17	266.96	378.15	261.86	212.38	362.21	53.28	354.90	302.94	219.49	340.43	230.24	311.65	455.31	325.50	293.95	285.86	307.14	518.27	298.18	289.66	329.46	255.00	332.59	289.27	569.15	312.13	140.35	311.67	279.93	264.75	200.68	208.43	60.95	188.70	397.09	409.69	483.16	208.42	278.39	313.53	420.04	364.06	600.89
hsa-miR-152-5p	16.00	hsa-mir-152	16.00	0	0	0	1.00	1.00	0	0	0	0	0	0	1.00	2.00	1.00	0	1.00	0	0	0	1.00	0	2.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	1.00	0	0	0	0	0.07	0.07	0	0	0	0	0	0	0.07	0.07	0.08	0	0.07	0	0	0	0.08	0	0.16	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0.08	0.08	0.07	0	0	0	0.08	0
hsa-miR-153-5p	0.00	hsa-mir-153-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1537-5p	0.00	hsa-mir-1537	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1539	0.00	hsa-mir-1539	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-154-5p	9.00	hsa-mir-154	9.00	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	2.00	0	0.08	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0.08	0	0	0	0.08	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0.15	0
hsa-miR-155-5p	1397.00	hsa-mir-155	1397.00	17.00	20.00	28.00	29.00	21.00	19.00	24.00	19.00	31.00	43.00	23.00	33.00	58.00	48.00	11.00	30.00	25.00	27.00	41.00	16.00	13.00	30.00	21.00	34.00	30.00	21.00	43.00	25.00	16.00	34.00	15.00	29.00	25.00	19.00	28.00	12.00	31.00	33.00	26.00	26.00	26.00	21.00	16.00	16.00	58.00	32.00	17.00	46.00	8.00	25.00	20.00	38.00	1.31	1.42	2.09	2.10	1.44	1.29	1.58	1.51	2.23	2.95	1.83	2.44	2.17	3.61	0.75	2.17	1.83	2.21	3.01	1.24	1.02	2.39	1.65	2.73	2.26	1.84	4.57	2.01	1.36	3.29	1.36	2.52	2.16	1.78	2.31	1.07	2.71	2.75	2.20	2.05	1.84	1.45	1.21	1.15	4.42	2.67	1.26	3.35	0.63	1.70	1.54	3.19
hsa-miR-1587	0.00	hsa-mir-1587	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-15a-5p	32886.00	hsa-mir-15a	32886.00	520.00	292.00	465.00	492.00	457.00	978.00	453.00	277.00	986.00	857.00	353.00	815.00	1516.00	734.00	80.00	1045.00	518.00	923.00	1104.00	507.00	258.00	447.00	792.00	540.00	605.00	508.00	702.00	553.00	293.00	760.00	513.00	344.00	459.00	718.00	623.00	231.00	754.00	434.00	344.00	297.00	273.00	157.00	325.00	428.00	346.00	458.00	210.00	4271.00	324.00	1376.00	286.00	885.00	40.20	20.73	34.64	35.60	31.43	66.54	29.79	22.05	70.86	58.78	28.03	60.37	56.82	55.26	5.44	75.52	37.84	75.71	81.07	39.29	20.28	35.60	62.19	43.37	45.66	44.60	74.57	44.36	24.93	73.58	46.50	29.90	39.60	67.21	51.46	20.53	65.95	36.16	29.10	23.40	19.33	10.87	24.56	30.87	26.39	38.15	15.53	310.85	25.39	93.39	22.05	74.19
hsa-miR-15b-5p	22965.00	hsa-mir-15b	22965.00	462.00	261.00	420.00	296.00	585.00	576.00	316.00	278.00	387.00	556.00	325.00	454.00	596.00	567.00	116.00	561.00	434.00	397.00	703.00	422.00	416.00	390.00	756.00	455.00	408.00	162.00	422.00	356.00	347.00	332.00	301.00	334.00	287.00	634.00	340.00	178.00	473.00	302.00	312.00	329.00	362.00	83.00	272.00	481.00	382.00	467.00	320.00	1617.00	306.00	1003.00	460.00	966.00	35.71	18.53	31.29	21.42	40.24	39.19	20.78	22.13	27.81	38.14	25.81	33.63	22.34	42.69	7.89	40.54	31.70	32.56	51.62	32.70	32.70	31.06	59.37	36.54	30.79	14.22	44.83	28.56	29.53	32.14	27.29	29.03	24.76	59.35	28.08	15.82	41.37	25.16	26.39	25.92	25.63	5.75	20.56	34.69	29.13	38.90	23.67	117.69	23.98	68.07	35.47	80.98
hsa-miR-16-5p	756669.00	hsa-mir-16-1	756669.00	14262.00	7131.00	11288.00	12850.00	12186.00	27399.00	14436.00	6269.00	14170.00	15905.00	10559.00	14355.00	24384.00	15132.00	2748.00	21019.00	8973.00	9050.00	19219.00	12245.00	8589.00	13888.00	25053.00	12713.00	12063.00	7490.00	14193.00	10542.00	6880.00	14434.00	10922.00	10305.00	12069.00	16719.00	13976.00	4629.00	19302.00	11044.00	8124.00	8937.00	6811.00	1574.00	3248.00	10139.00	10944.00	17254.00	7164.00	99464.00	7867.00	33466.00	8470.00	34816.00	1102.46	506.21	840.90	929.88	838.16	1864.22	949.31	499.05	1018.28	1090.96	838.48	1063.37	913.84	1139.26	186.97	1518.97	655.48	742.29	1411.30	948.94	675.09	1106.06	1967.36	1021.05	910.34	657.65	1507.65	845.68	585.44	1397.42	990.07	895.81	1041.22	1565.06	1154.34	411.46	1688.41	920.10	687.16	704.16	482.21	109.02	245.46	731.21	834.63	1437.32	529.84	7239.06	616.48	2271.32	653.03	2918.63
hsa-miR-16-5p	757122.00	hsa-mir-16-2	757122.00	14273.00	7138.00	11298.00	12856.00	12197.00	27418.00	14438.00	6271.00	14177.00	15916.00	10564.00	14359.00	24392.00	15144.00	2752.00	21028.00	8983.00	9064.00	19230.00	12252.00	8596.00	13890.00	25069.00	12724.00	12066.00	7492.00	14209.00	10551.00	6885.00	14443.00	10926.00	10310.00	12077.00	16734.00	13992.00	4632.00	19310.00	11049.00	8131.00	8946.00	6815.00	1576.00	3249.00	10146.00	10950.00	17257.00	7174.00	99501.00	7872.00	33489.00	8477.00	34834.00	1103.31	506.71	841.65	930.31	838.92	1865.51	949.44	499.21	1018.78	1091.72	838.88	1063.66	914.14	1140.17	187.25	1519.62	656.21	743.44	1412.10	949.48	675.64	1106.22	1968.62	1021.93	910.57	657.83	1509.35	846.40	585.87	1398.29	990.43	896.24	1041.91	1566.46	1155.67	411.73	1689.11	920.51	687.75	704.87	482.49	109.16	245.53	731.72	835.08	1437.57	530.58	7241.75	616.87	2272.88	653.57	2920.14
hsa-miR-17-5p	6630.00	hsa-mir-17	6630.00	150.00	76.00	127.00	154.00	111.00	194.00	148.00	103.00	140.00	52.00	95.00	137.00	152.00	140.00	10.00	240.00	95.00	115.00	192.00	94.00	85.00	134.00	224.00	84.00	117.00	66.00	105.00	111.00	43.00	153.00	85.00	112.00	104.00	156.00	142.00	37.00	164.00	77.00	81.00	90.00	59.00	20.00	39.00	102.00	82.00	215.00	65.00	837.00	55.00	280.00	50.00	131.00	11.60	5.40	9.46	11.14	7.63	13.20	9.73	8.20	10.06	3.57	7.54	10.15	5.70	10.54	0.68	17.34	6.94	9.43	14.10	7.28	6.68	10.67	17.59	6.75	8.83	5.80	11.15	8.90	3.66	14.81	7.71	9.74	8.97	14.60	11.73	3.29	14.35	6.42	6.85	7.09	4.18	1.39	2.95	7.36	6.25	17.91	4.81	60.92	4.31	19.00	3.85	10.98
hsa-miR-181a-5p	989478.00	hsa-mir-181a-1	989478.00	20302.00	13219.00	21262.00	19356.00	9756.00	24364.00	32832.00	13968.00	12964.00	5182.00	9743.00	18023.00	20223.00	19860.00	3179.00	26084.00	12164.00	23941.00	28307.00	21883.00	8936.00	22977.00	13949.00	7984.00	13396.00	17196.00	11652.00	15038.00	10488.00	19234.00	12022.00	23840.00	29402.00	14707.00	32996.00	13268.00	19830.00	15882.00	22779.00	22307.00	9650.00	16920.00	12842.00	19309.00	30982.00	25554.00	23603.00	109078.00	6099.00	13880.00	8730.00	8336.00	1569.35	938.38	1583.92	1400.68	671.02	1657.72	2159.03	1111.94	931.62	355.45	773.68	1335.08	757.90	1495.23	216.30	1885.00	888.59	1963.66	2078.65	1695.85	702.36	1829.92	1095.39	641.24	1010.94	1509.88	1237.73	1206.35	892.46	1862.13	1089.78	2072.40	2536.58	1376.71	2725.30	1179.35	1734.59	1323.16	1926.73	1757.61	683.21	1171.95	970.49	1392.54	2362.79	2128.74	1745.66	7938.77	477.93	942.03	673.07	698.81
hsa-miR-181b-5p	11862.00	hsa-mir-181b-1	11862.00	175.00	128.00	141.00	179.00	99.00	204.00	256.00	120.00	197.00	129.00	141.00	234.00	319.00	310.00	25.00	200.00	239.00	533.00	339.00	203.00	96.00	175.00	208.00	131.00	166.00	214.00	254.00	257.00	121.00	188.00	144.00	269.00	308.00	170.00	389.00	188.00	241.00	226.00	215.00	169.00	116.00	266.00	408.00	214.00	463.00	353.00	188.00	803.00	127.00	191.00	260.00	173.00	13.53	9.09	10.50	12.95	6.81	13.88	16.83	9.55	14.16	8.85	11.20	17.33	11.96	23.34	1.70	14.45	17.46	43.72	24.89	15.73	7.55	13.94	16.33	10.52	12.53	18.79	26.98	20.62	10.30	18.20	13.05	23.38	26.57	15.91	32.13	16.71	21.08	18.83	18.19	13.32	8.21	18.42	30.83	15.43	35.31	29.41	13.90	58.44	9.95	12.96	20.05	14.50
hsa-miR-181b-5p	11951.00	hsa-mir-181b-2	11951.00	177.00	128.00	143.00	181.00	99.00	205.00	256.00	121.00	200.00	129.00	141.00	235.00	322.00	312.00	25.00	203.00	240.00	536.00	340.00	204.00	96.00	179.00	210.00	133.00	167.00	216.00	254.00	260.00	123.00	191.00	144.00	270.00	310.00	171.00	390.00	188.00	244.00	228.00	219.00	170.00	116.00	269.00	408.00	216.00	467.00	360.00	189.00	808.00	129.00	192.00	262.00	175.00	13.68	9.09	10.65	13.10	6.81	13.95	16.83	9.63	14.37	8.85	11.20	17.41	12.07	23.49	1.70	14.67	17.53	43.96	24.97	15.81	7.55	14.26	16.49	10.68	12.60	18.97	26.98	20.86	10.47	18.49	13.05	23.47	26.74	16.01	32.21	16.71	21.34	19.00	18.52	13.39	8.21	18.63	30.83	15.58	35.61	29.99	13.98	58.81	10.11	13.03	20.20	14.67
hsa-miR-181c-5p	5990.00	hsa-mir-181c	5990.00	140.00	74.00	137.00	180.00	80.00	103.00	165.00	80.00	82.00	59.00	88.00	174.00	103.00	98.00	5.00	121.00	142.00	97.00	110.00	69.00	62.00	151.00	53.00	80.00	100.00	65.00	83.00	142.00	61.00	147.00	79.00	76.00	105.00	126.00	262.00	44.00	69.00	85.00	62.00	103.00	49.00	29.00	83.00	181.00	323.00	244.00	109.00	425.00	58.00	174.00	156.00	97.00	10.82	5.25	10.21	13.03	5.50	7.01	10.85	6.37	5.89	4.05	6.99	12.89	3.86	7.38	0.34	8.74	10.37	7.96	8.08	5.35	4.87	12.03	4.16	6.43	7.55	5.71	8.82	11.39	5.19	14.23	7.16	6.61	9.06	11.79	21.64	3.91	6.04	7.08	5.24	8.12	3.47	2.01	6.27	13.05	24.63	20.33	8.06	30.93	4.55	11.81	12.03	8.13
hsa-miR-181d-5p	329.00	hsa-mir-181d	329.00	9.00	3.00	4.00	3.00	3.00	2.00	7.00	3.00	3.00	2.00	5.00	9.00	3.00	6.00	0	4.00	5.00	13.00	4.00	5.00	2.00	12.00	4.00	9.00	4.00	5.00	8.00	10.00	7.00	7.00	6.00	8.00	3.00	9.00	13.00	3.00	5.00	3.00	5.00	5.00	1.00	3.00	13.00	5.00	14.00	14.00	5.00	24.00	3.00	9.00	8.00	9.00	0.70	0.21	0.30	0.22	0.21	0.14	0.46	0.24	0.22	0.14	0.40	0.67	0.11	0.45	0	0.29	0.37	1.07	0.29	0.39	0.16	0.96	0.31	0.72	0.30	0.44	0.85	0.80	0.60	0.68	0.54	0.70	0.26	0.84	1.07	0.27	0.44	0.25	0.42	0.39	0.07	0.21	0.98	0.36	1.07	1.17	0.37	1.75	0.24	0.61	0.62	0.75
hsa-miR-182-5p	3375506.00	hsa-mir-182	3375506.00	42899.00	33749.00	52855.00	59641.00	55422.00	23500.00	44762.00	40761.00	38633.00	134353.00	68122.00	43972.00	82248.00	82717.00	22110.00	27585.00	52732.00	72301.00	71906.00	46906.00	44273.00	55658.00	110786.00	68751.00	101141.00	18990.00	77487.00	50534.00	34216.00	65898.00	40361.00	41785.00	38464.00	52301.00	43868.00	44728.00	68811.00	55515.00	21404.00	65975.00	64714.00	22416.00	56757.00	68309.00	130870.00	54355.00	20052.00	394321.00	53857.00	79708.00	122719.00	109308.00	3316.11	2395.75	3937.45	4315.86	3811.96	1598.93	2943.55	3244.83	2776.24	9215.59	5409.49	3257.28	3082.40	6227.63	1504.37	1993.48	3852.11	5930.19	5280.22	3635.04	3479.82	4432.68	8699.79	5521.75	7632.68	1667.40	8231.04	4053.85	2911.55	6379.87	3658.69	3632.35	3318.38	4895.86	3623.27	3975.74	6019.12	4625.06	1810.43	5198.30	4581.66	1552.62	4289.23	4926.36	9980.58	4527.96	1483.03	28698.96	4220.36	5409.74	9461.51	9163.31
hsa-miR-1825	0.00	hsa-mir-1825	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-183-5p	26385.00	hsa-mir-183	26385.00	549.00	232.00	468.00	919.00	769.00	352.00	699.00	541.00	119.00	472.00	344.00	334.00	359.00	538.00	148.00	320.00	151.00	192.00	386.00	277.00	258.00	469.00	988.00	313.00	405.00	78.00	280.00	210.00	131.00	647.00	231.00	386.00	179.00	224.00	430.00	272.00	497.00	341.00	174.00	462.00	211.00	34.00	56.00	285.00	281.00	420.00	141.00	6328.00	362.00	674.00	1071.00	1378.00	42.44	16.47	34.86	66.50	52.89	23.95	45.97	43.07	8.55	32.38	27.32	24.74	13.45	40.51	10.07	23.13	11.03	15.75	28.34	21.47	20.28	37.35	77.59	25.14	30.56	6.85	29.74	16.85	11.15	62.64	20.94	33.55	15.44	20.97	35.52	24.18	43.47	28.41	14.72	36.40	14.94	2.35	4.23	20.55	21.43	34.99	10.43	460.56	28.37	45.74	82.57	115.52
hsa-miR-185-5p	62451.00	hsa-mir-185	62451.00	1169.00	1029.00	729.00	958.00	755.00	899.00	808.00	1783.00	948.00	843.00	1804.00	1075.00	2063.00	1649.00	156.00	1638.00	2027.00	1804.00	2768.00	976.00	1146.00	1685.00	877.00	1148.00	1498.00	996.00	1916.00	959.00	1169.00	987.00	803.00	2055.00	1435.00	2199.00	1431.00	520.00	1321.00	551.00	548.00	597.00	690.00	624.00	627.00	1197.00	2335.00	918.00	1572.00	1444.00	556.00	999.00	842.00	925.00	90.36	73.05	54.31	69.32	51.93	61.17	53.13	141.94	68.12	57.82	143.25	79.63	77.31	124.15	10.61	118.37	148.07	147.97	203.26	75.64	90.07	134.20	68.87	92.20	113.05	87.45	203.53	76.93	99.47	95.56	72.79	178.64	123.80	205.85	118.19	46.22	115.55	45.90	46.35	47.04	48.85	43.22	47.38	86.33	178.07	76.47	116.26	105.10	43.57	67.80	64.92	77.54
hsa-miR-186-5p	832757.00	hsa-mir-186	832757.00	19244.00	11794.00	12971.00	15863.00	20319.00	17088.00	15898.00	12192.00	12511.00	19415.00	13584.00	13530.00	33046.00	18030.00	5876.00	13031.00	15144.00	6965.00	13949.00	10091.00	14299.00	16193.00	15348.00	14549.00	13168.00	6314.00	11323.00	12372.00	14480.00	13997.00	12364.00	11113.00	11041.00	16648.00	12167.00	5498.00	13284.00	11410.00	9782.00	10010.00	8392.00	1779.00	9015.00	25183.00	45426.00	26829.00	22793.00	22757.00	22528.00	29150.00	32260.00	40744.00	1487.57	837.22	966.28	1147.91	1397.55	1162.66	1045.45	970.56	899.06	1331.72	1078.69	1002.25	1238.46	1357.45	399.80	941.71	1106.28	571.28	1024.31	782.01	1123.89	1289.63	1205.25	1168.51	993.73	554.39	1202.78	992.49	1232.15	1355.11	1120.79	966.05	952.53	1558.41	1004.93	488.70	1161.99	950.59	827.40	788.71	594.14	123.22	681.28	1816.17	3464.34	2234.95	1685.75	1656.27	1765.35	1978.40	2487.21	3415.58
hsa-miR-187-5p	0.00	hsa-mir-187	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-188-5p	80.00	hsa-mir-188	80.00	1.00	1.00	1.00	1.00	0	5.00	4.00	0	2.00	1.00	2.00	2.00	1.00	6.00	0	3.00	2.00	1.00	1.00	0	2.00	0	1.00	2.00	2.00	0	2.00	3.00	0	0	2.00	0	2.00	4.00	1.00	0	1.00	1.00	0	1.00	1.00	0	0	1.00	2.00	2.00	1.00	8.00	0	3.00	3.00	1.00	0.08	0.07	0.07	0.07	0	0.34	0.26	0	0.14	0.07	0.16	0.15	0.04	0.45	0	0.22	0.15	0.08	0.07	0	0.16	0	0.08	0.16	0.15	0	0.21	0.24	0	0	0.18	0	0.17	0.37	0.08	0	0.09	0.08	0	0.08	0.07	0	0	0.07	0.15	0.17	0.07	0.58	0	0.20	0.23	0.08
hsa-miR-18a-5p	604.00	hsa-mir-18a	604.00	26.00	15.00	11.00	15.00	10.00	11.00	13.00	34.00	6.00	7.00	6.00	15.00	15.00	12.00	2.00	27.00	8.00	7.00	21.00	3.00	5.00	14.00	9.00	5.00	10.00	5.00	8.00	6.00	2.00	15.00	6.00	5.00	3.00	11.00	8.00	5.00	12.00	9.00	8.00	3.00	2.00	1.00	2.00	9.00	2.00	13.00	3.00	114.00	2.00	27.00	7.00	9.00	2.01	1.06	0.82	1.09	0.69	0.75	0.85	2.71	0.43	0.48	0.48	1.11	0.56	0.90	0.14	1.95	0.58	0.57	1.54	0.23	0.39	1.11	0.71	0.40	0.75	0.44	0.85	0.48	0.17	1.45	0.54	0.43	0.26	1.03	0.66	0.44	1.05	0.75	0.68	0.24	0.14	0.07	0.15	0.65	0.15	1.08	0.22	8.30	0.16	1.83	0.54	0.75
hsa-miR-18b-5p	65.00	hsa-mir-18b	65.00	2.00	2.00	1.00	0	5.00	2.00	3.00	2.00	1.00	0	2.00	3.00	1.00	1.00	0	3.00	0	1.00	1.00	0	0	0	1.00	2.00	1.00	1.00	1.00	0	0	4.00	0	0	1.00	5.00	0	0	0	0	3.00	1.00	0	0	0	1.00	0	5.00	0	6.00	1.00	2.00	0	0	0.15	0.14	0.07	0	0.34	0.14	0.20	0.16	0.07	0	0.16	0.22	0.04	0.08	0	0.22	0	0.08	0.07	0	0	0	0.08	0.16	0.08	0.09	0.11	0	0	0.39	0	0	0.09	0.47	0	0	0	0	0.25	0.08	0	0	0	0.07	0	0.42	0	0.44	0.08	0.14	0	0
hsa-miR-1908-5p	68.00	hsa-mir-1908	68.00	4.00	0	1.00	1.00	1.00	3.00	3.00	1.00	1.00	4.00	3.00	0	1.00	1.00	0	1.00	1.00	1.00	1.00	1.00	0	1.00	0	6.00	0	3.00	1.00	1.00	0	0	1.00	5.00	2.00	0	3.00	2.00	0	2.00	1.00	2.00	0	0	0	2.00	1.00	3.00	2.00	0	1.00	0	0	0	0.31	0	0.07	0.07	0.07	0.20	0.20	0.08	0.07	0.27	0.24	0	0.04	0.08	0	0.07	0.07	0.08	0.07	0.08	0	0.08	0	0.48	0	0.26	0.11	0.08	0	0	0.09	0.43	0.17	0	0.25	0.18	0	0.17	0.08	0.16	0	0	0	0.14	0.08	0.25	0.15	0	0.08	0	0	0
hsa-miR-1909-5p	1.00	hsa-mir-1909	1.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-190a-5p	260.00	hsa-mir-190a	260.00	9.00	2.00	1.00	11.00	3.00	5.00	5.00	2.00	4.00	1.00	3.00	9.00	11.00	6.00	0	2.00	4.00	10.00	15.00	9.00	4.00	9.00	10.00	5.00	5.00	2.00	3.00	2.00	5.00	9.00	4.00	5.00	9.00	11.00	3.00	1.00	15.00	5.00	4.00	0	1.00	2.00	0	2.00	0	6.00	3.00	16.00	1.00	2.00	1.00	3.00	0.70	0.14	0.07	0.80	0.21	0.34	0.33	0.16	0.29	0.07	0.24	0.67	0.41	0.45	0	0.14	0.29	0.82	1.10	0.70	0.31	0.72	0.79	0.40	0.38	0.18	0.32	0.16	0.43	0.87	0.36	0.43	0.78	1.03	0.25	0.09	1.31	0.42	0.34	0	0.07	0.14	0	0.14	0	0.50	0.22	1.16	0.08	0.14	0.08	0.25
hsa-miR-190b	54.00	hsa-mir-190b	54.00	3.00	0	0	1.00	0	1.00	3.00	0	1.00	1.00	0	0	2.00	0	0	3.00	1.00	0	5.00	0	0	2.00	3.00	1.00	1.00	3.00	0	0	0	1.00	1.00	0	3.00	1.00	3.00	0	0	3.00	1.00	1.00	0	0	0	0	0	1.00	1.00	5.00	0	0	0	2.00	0.23	0	0	0.07	0	0.07	0.20	0	0.07	0.07	0	0	0.07	0	0	0.22	0.07	0	0.37	0	0	0.16	0.24	0.08	0.08	0.26	0	0	0	0.10	0.09	0	0.26	0.09	0.25	0	0	0.25	0.08	0.08	0	0	0	0	0	0.08	0.07	0.36	0	0	0	0.17
