#miRNA	read_count	precursor
hsa-miR-4435	1903	hsa-mir-4435-2
hsa-miR-4436b-5p	1	hsa-mir-4436b-1
hsa-miR-4436b-5p	1	hsa-mir-4436b-2
hsa-miR-4437	0	hsa-mir-4437
hsa-miR-4439	0	hsa-mir-4439
hsa-miR-4443	3	hsa-mir-4443
hsa-miR-4444	0	hsa-mir-4444-1
hsa-miR-4444	0	hsa-mir-4444-2
hsa-miR-4445-5p	0	hsa-mir-4445
hsa-miR-4446-5p	15	hsa-mir-4446
hsa-miR-4449	6	hsa-mir-4449
hsa-miR-4450	0	hsa-mir-4450
hsa-miR-4453	0	hsa-mir-4453
hsa-miR-4454	645	hsa-mir-4454
hsa-miR-4455	0	hsa-mir-4455
hsa-miR-4456	0	hsa-mir-4456
hsa-miR-4458	0	hsa-mir-4458
hsa-miR-4459	2	hsa-mir-4459
hsa-miR-4460	0	hsa-mir-4460
hsa-miR-4462	0	hsa-mir-4462
hsa-miR-4463	0	hsa-mir-4463
hsa-miR-4464	0	hsa-mir-4464
hsa-miR-4466	1	hsa-mir-4466
hsa-miR-4467	9	hsa-mir-4467
hsa-miR-4472	0	hsa-mir-4472-2
hsa-miR-4474-5p	0	hsa-mir-4474
hsa-miR-4475	0	hsa-mir-4475
hsa-miR-4478	1	hsa-mir-4478
hsa-miR-4481	0	hsa-mir-4481
hsa-miR-4482-5p	4	hsa-mir-4482
hsa-miR-4483	0	hsa-mir-4483
hsa-miR-4485-5p	0	hsa-mir-4485
hsa-miR-4485-3p	2	hsa-mir-4485
hsa-miR-4486	0	hsa-mir-4486
hsa-miR-4487	2	hsa-mir-4487
hsa-miR-4488	2	hsa-mir-4488
hsa-miR-4489	4	hsa-mir-4489
hsa-miR-4495	0	hsa-mir-4495
hsa-miR-4497	0	hsa-mir-4497
hsa-miR-4498	1	hsa-mir-4498
hsa-miR-4499	1	hsa-mir-4499
hsa-miR-449a	3	hsa-mir-449a
hsa-miR-449b-5p	7	hsa-mir-449b
hsa-miR-449c-5p	18	hsa-mir-449c
hsa-miR-4501	0	hsa-mir-4501
hsa-miR-4503	4	hsa-mir-4503
hsa-miR-4505	0	hsa-mir-4505
hsa-miR-4507	2	hsa-mir-4507
hsa-miR-4508	285	hsa-mir-4508
hsa-miR-4509	0	hsa-mir-4509-1
hsa-miR-4509	0	hsa-mir-4509-2
hsa-miR-4509	0	hsa-mir-4509-3
hsa-miR-450a-5p	106	hsa-mir-450a-1
hsa-miR-450a-5p	107	hsa-mir-450a-2
hsa-miR-450b-5p	33	hsa-mir-450b
hsa-miR-4510	4	hsa-mir-4510
hsa-miR-4511	529	hsa-mir-4511
hsa-miR-4513	0	hsa-mir-4513
hsa-miR-4514	0	hsa-mir-4514
hsa-miR-4515	1	hsa-mir-4515
hsa-miR-4516	11	hsa-mir-4516
hsa-miR-4517	0	hsa-mir-4517
hsa-miR-4519	1	hsa-mir-4519
hsa-miR-451a	10699147	hsa-mir-451a
hsa-miR-451b	11	hsa-mir-451b
hsa-miR-452-5p	6	hsa-mir-452
hsa-miR-4520-5p	0	hsa-mir-4520-1
hsa-miR-4520-5p	0	hsa-mir-4520-2
hsa-miR-4520-2-3p	4	hsa-mir-4520-2
hsa-miR-4521	56	hsa-mir-4521
hsa-miR-4523	1	hsa-mir-4523
hsa-miR-4524a-5p	0	hsa-mir-4524a
hsa-miR-4524b-5p	0	hsa-mir-4524b
hsa-miR-4525	1	hsa-mir-4525
hsa-miR-4527	0	hsa-mir-4527
hsa-miR-4529-5p	0	hsa-mir-4529
hsa-miR-4530	0	hsa-mir-4530
hsa-miR-4531	0	hsa-mir-4531
hsa-miR-4532	0	hsa-mir-4532
hsa-miR-4533	0	hsa-mir-4533
hsa-miR-4534	0	hsa-mir-4534
hsa-miR-4535	0	hsa-mir-4535
hsa-miR-4536-5p	0	hsa-mir-4536-1
hsa-miR-4536-5p	0	hsa-mir-4536-2
hsa-miR-4537	0	hsa-mir-4537
hsa-miR-4538	0	hsa-mir-4538
hsa-miR-4539	1	hsa-mir-4539
hsa-miR-454-5p	10256	hsa-mir-454
hsa-miR-4540	0	hsa-mir-4540
hsa-miR-455-5p	0	hsa-mir-455
hsa-miR-4632-5p	0	hsa-mir-4632
hsa-miR-4633-5p	0	hsa-mir-4633
hsa-miR-4634	0	hsa-mir-4634
hsa-miR-4636	0	hsa-mir-4636
hsa-miR-4638-5p	1	hsa-mir-4638
hsa-miR-4638-3p	144	hsa-mir-4638
hsa-miR-4639-5p	0	hsa-mir-4639
hsa-miR-4640-5p	0	hsa-mir-4640
hsa-miR-4642	53	hsa-mir-4642
hsa-miR-4645-5p	0	hsa-mir-4645
hsa-miR-4646-5p	19	hsa-mir-4646
hsa-miR-4647	4	hsa-mir-4647
hsa-miR-4648	0	hsa-mir-4648
hsa-miR-4649-5p	1	hsa-mir-4649
hsa-miR-4650-5p	0	hsa-mir-4650-1
hsa-miR-4650-5p	0	hsa-mir-4650-2
hsa-miR-4651	0	hsa-mir-4651
hsa-miR-4652-5p	0	hsa-mir-4652
hsa-miR-4653-5p	0	hsa-mir-4653
hsa-miR-4654	0	hsa-mir-4654
hsa-miR-4655-5p	3	hsa-mir-4655
hsa-miR-4656	0	hsa-mir-4656
hsa-miR-4657	4	hsa-mir-4657
hsa-miR-4658	0	hsa-mir-4658
hsa-miR-4659a-5p	9	hsa-mir-4659a
hsa-miR-4659b-5p	13	hsa-mir-4659b
hsa-miR-4660	12	hsa-mir-4660
hsa-miR-4661-5p	98	hsa-mir-4661
hsa-miR-4662a-5p	76	hsa-mir-4662a
hsa-miR-4663	0	hsa-mir-4663
hsa-miR-4664-5p	0	hsa-mir-4664
hsa-miR-4665-5p	8	hsa-mir-4665
hsa-miR-4666a-5p	1	hsa-mir-4666a
hsa-miR-4666b	0	hsa-mir-4666b
hsa-miR-4667-5p	6	hsa-mir-4667
hsa-miR-4668-5p	35	hsa-mir-4668
hsa-miR-4669	3	hsa-mir-4669
hsa-miR-4670-5p	8	hsa-mir-4670
hsa-miR-4671-5p	1	hsa-mir-4671
hsa-miR-4673	0	hsa-mir-4673
hsa-miR-4676-5p	3	hsa-mir-4676
hsa-miR-4677-5p	57	hsa-mir-4677
hsa-miR-4678	1	hsa-mir-4678
hsa-miR-4679	0	hsa-mir-4679-1
hsa-miR-4679	0	hsa-mir-4679-2
hsa-miR-4680-5p	0	hsa-mir-4680
hsa-miR-4681	0	hsa-mir-4681
hsa-miR-4682	1	hsa-mir-4682
hsa-miR-4684-5p	0	hsa-mir-4684
hsa-miR-4685-5p	0	hsa-mir-4685
hsa-miR-4686	0	hsa-mir-4686
hsa-miR-4687-5p	289	hsa-mir-4687
hsa-miR-4689	1	hsa-mir-4689
hsa-miR-4690-5p	2	hsa-mir-4690
hsa-miR-4690-3p	19	hsa-mir-4690
hsa-miR-4691-5p	0	hsa-mir-4691
hsa-miR-4692	0	hsa-mir-4692
hsa-miR-4693-5p	0	hsa-mir-4693
hsa-miR-4694-5p	0	hsa-mir-4694
hsa-miR-4695-5p	2	hsa-mir-4695
hsa-miR-4696	0	hsa-mir-4696
hsa-miR-4697-5p	0	hsa-mir-4697
hsa-miR-4699-5p	0	hsa-mir-4699
hsa-miR-4700-5p	0	hsa-mir-4700
hsa-miR-4701-5p	5	hsa-mir-4701
hsa-miR-4701-3p	0	hsa-mir-4701
hsa-miR-4703-5p	0	hsa-mir-4703
hsa-miR-4704-5p	0	hsa-mir-4704
hsa-miR-4705	0	hsa-mir-4705
hsa-miR-4706	0	hsa-mir-4706
hsa-miR-4707-5p	3	hsa-mir-4707
hsa-miR-4708-5p	0	hsa-mir-4708
hsa-miR-4709-5p	11	hsa-mir-4709
hsa-miR-4710	0	hsa-mir-4710
hsa-miR-4711-5p	0	hsa-mir-4711
hsa-miR-4712-5p	1	hsa-mir-4712
hsa-miR-4713-5p	2	hsa-mir-4713
hsa-miR-4714-5p	89	hsa-mir-4714
hsa-miR-4715-5p	3	hsa-mir-4715
hsa-miR-4716-5p	0	hsa-mir-4716
hsa-miR-4717-5p	0	hsa-mir-4717
hsa-miR-4718	0	hsa-mir-4718
hsa-miR-4720-5p	0	hsa-mir-4720
hsa-miR-4722-5p	0	hsa-mir-4722
hsa-miR-4722-3p	1	hsa-mir-4722
hsa-miR-4723-5p	6	hsa-mir-4723
hsa-miR-4724-5p	2	hsa-mir-4724
hsa-miR-4725-5p	2	hsa-mir-4725
hsa-miR-4726-5p	0	hsa-mir-4726
hsa-miR-4726-3p	0	hsa-mir-4726
hsa-miR-4727-5p	5	hsa-mir-4727
hsa-miR-4727-3p	0	hsa-mir-4727
hsa-miR-4728-5p	0	hsa-mir-4728
hsa-miR-4729	2	hsa-mir-4729
hsa-miR-4730	2	hsa-mir-4730
hsa-miR-4731-5p	7	hsa-mir-4731
hsa-miR-4732-5p	1066	hsa-mir-4732
hsa-miR-4733-5p	0	hsa-mir-4733
hsa-miR-4735-5p	0	hsa-mir-4735
hsa-miR-4736	1	hsa-mir-4736
hsa-miR-4737	0	hsa-mir-4737
hsa-miR-4738-5p	0	hsa-mir-4738
hsa-miR-4739	0	hsa-mir-4739
hsa-miR-4740-5p	0	hsa-mir-4740
hsa-miR-4742-5p	5	hsa-mir-4742
hsa-miR-4743-5p	0	hsa-mir-4743
hsa-miR-4744	2	hsa-mir-4744
hsa-miR-4745-5p	18	hsa-mir-4745
hsa-miR-4745-3p	94	hsa-mir-4745
hsa-miR-4746-5p	1123	hsa-mir-4746
hsa-miR-4747-5p	0	hsa-mir-4747
hsa-miR-4747-3p	15	hsa-mir-4747
hsa-miR-4748	1	hsa-mir-4748
hsa-miR-4749-5p	0	hsa-mir-4749
hsa-miR-4750-5p	0	hsa-mir-4750
hsa-miR-4750-3p	3	hsa-mir-4750
hsa-miR-4751	14	hsa-mir-4751
hsa-miR-4752	0	hsa-mir-4752
hsa-miR-4753-5p	55	hsa-mir-4753
hsa-miR-4754	4	hsa-mir-4754
hsa-miR-4755-5p	206	hsa-mir-4755
hsa-miR-4756-5p	0	hsa-mir-4756
hsa-miR-4757-5p	8	hsa-mir-4757
hsa-miR-4758-5p	0	hsa-mir-4758
hsa-miR-4759	0	hsa-mir-4759
hsa-miR-4760-5p	0	hsa-mir-4760
hsa-miR-4761-5p	0	hsa-mir-4761
hsa-miR-4762-5p	236	hsa-mir-4762
hsa-miR-4763-5p	24	hsa-mir-4763
hsa-miR-4764-5p	0	hsa-mir-4764
hsa-miR-4766-5p	6	hsa-mir-4766
hsa-miR-4767	15	hsa-mir-4767
hsa-miR-4768-5p	11	hsa-mir-4768
hsa-miR-4769-5p	0	hsa-mir-4769
hsa-miR-4770	0	hsa-mir-4770
hsa-miR-4772-5p	34	hsa-mir-4772
hsa-miR-4774-5p	0	hsa-mir-4774
hsa-miR-4775	52	hsa-mir-4775
hsa-miR-4776-5p	0	hsa-mir-4776-1
hsa-miR-4776-5p	0	hsa-mir-4776-2
hsa-miR-4777-5p	0	hsa-mir-4777
hsa-miR-4778-5p	0	hsa-mir-4778
hsa-miR-4781-5p	1	hsa-mir-4781
hsa-miR-4782-5p	0	hsa-mir-4782
hsa-miR-4783-5p	0	hsa-mir-4783
hsa-miR-4784	1	hsa-mir-4784
hsa-miR-4786-5p	32	hsa-mir-4786
hsa-miR-4787-5p	2	hsa-mir-4787
hsa-miR-4788	0	hsa-mir-4788
hsa-miR-4789-5p	0	hsa-mir-4789
hsa-miR-4790-5p	0	hsa-mir-4790
hsa-miR-4791	0	hsa-mir-4791
hsa-miR-4792	76	hsa-mir-4792
hsa-miR-4793-5p	0	hsa-mir-4793
hsa-miR-4794	1	hsa-mir-4794
hsa-miR-4795-5p	0	hsa-mir-4795
hsa-miR-4796-5p	7	hsa-mir-4796
hsa-miR-4797-5p	1	hsa-mir-4797
hsa-miR-4798-5p	0	hsa-mir-4798
hsa-miR-4799-5p	2	hsa-mir-4799
hsa-miR-4800-5p	0	hsa-mir-4800
hsa-miR-4802-5p	0	hsa-mir-4802
hsa-miR-4803	0	hsa-mir-4803
hsa-miR-4804-5p	10	hsa-mir-4804
hsa-miR-483-5p	1	hsa-mir-483
hsa-miR-484	851030	hsa-mir-484
hsa-miR-485-5p	19	hsa-mir-485
hsa-miR-486-5p	325259326	hsa-mir-486-1
hsa-miR-486-5p	324527389	hsa-mir-486-2
hsa-miR-487a-5p	3	hsa-mir-487a
hsa-miR-487b-5p	1	hsa-mir-487b
hsa-miR-488-5p	0	hsa-mir-488
hsa-miR-489-5p	0	hsa-mir-489
hsa-miR-490-5p	0	hsa-mir-490
hsa-miR-491-5p	112	hsa-mir-491
hsa-miR-492	0	hsa-mir-492
hsa-miR-493-5p	13	hsa-mir-493
hsa-miR-494-5p	1	hsa-mir-494
hsa-miR-495-5p	0	hsa-mir-495
hsa-miR-497-5p	6	hsa-mir-497
hsa-miR-498	0	hsa-mir-498
hsa-miR-4999-5p	2	hsa-mir-4999
hsa-miR-499a-5p	1	hsa-mir-499a
hsa-miR-499b-5p	0	hsa-mir-499b
hsa-miR-5000-5p	0	hsa-mir-5000
hsa-miR-5001-5p	5	hsa-mir-5001
hsa-miR-5002-5p	0	hsa-mir-5002
hsa-miR-5003-5p	2	hsa-mir-5003
hsa-miR-5004-5p	2	hsa-mir-5004
hsa-miR-5006-5p	0	hsa-mir-5006
hsa-miR-5007-5p	0	hsa-mir-5007
hsa-miR-5008-5p	0	hsa-mir-5008
hsa-miR-5009-5p	62	hsa-mir-5009
hsa-miR-500a-5p	379	hsa-mir-500a
hsa-miR-500b-5p	339	hsa-mir-500b
hsa-miR-501-5p	296	hsa-mir-501
hsa-miR-5010-5p	103	hsa-mir-5010
hsa-miR-5011-5p	0	hsa-mir-5011
hsa-miR-502-5p	119	hsa-mir-502
hsa-miR-503-5p	369	hsa-mir-503
hsa-miR-504-5p	27	hsa-mir-504
hsa-miR-505-5p	149	hsa-mir-505
hsa-miR-506-5p	0	hsa-mir-506
hsa-miR-508-5p	1	hsa-mir-508
hsa-miR-5087	0	hsa-mir-5087
hsa-miR-5088-5p	0	hsa-mir-5088
hsa-miR-5089-5p	0	hsa-mir-5089
hsa-miR-509-5p	0	hsa-mir-509-1
hsa-miR-509-5p	0	hsa-mir-509-2
hsa-miR-509-3-5p	0	hsa-mir-509-3
hsa-miR-5090	7	hsa-mir-5090
hsa-miR-5091	5	hsa-mir-5091
hsa-miR-5094	180	hsa-mir-5094
hsa-miR-5095	1	hsa-mir-5095
hsa-miR-5096	28	hsa-mir-5096
hsa-miR-510-5p	0	hsa-mir-510
hsa-miR-511-5p	5	hsa-mir-511
hsa-miR-512-5p	0	hsa-mir-512-1
hsa-miR-512-5p	0	hsa-mir-512-2
hsa-miR-513a-5p	0	hsa-mir-513a-1
hsa-miR-513a-5p	0	hsa-mir-513a-2
hsa-miR-513b-5p	0	hsa-mir-513b
hsa-miR-513c-5p	2	hsa-mir-513c
hsa-miR-514a-5p	0	hsa-mir-514a-1
hsa-miR-514a-5p	0	hsa-mir-514a-2
hsa-miR-514a-5p	0	hsa-mir-514a-3
hsa-miR-514b-5p	0	hsa-mir-514b
hsa-miR-515-5p	0	hsa-mir-515-1
hsa-miR-515-5p	0	hsa-mir-515-2
hsa-miR-516a-5p	3	hsa-mir-516a-1
hsa-miR-516a-5p	3	hsa-mir-516a-2
hsa-miR-516b-5p	4	hsa-mir-516b-1
hsa-miR-516b-5p	4	hsa-mir-516b-2
hsa-miR-517-5p	2	hsa-mir-517a
hsa-miR-517-5p	2	hsa-mir-517b
hsa-miR-517-5p	2	hsa-mir-517c
hsa-miR-5187-5p	0	hsa-mir-5187
hsa-miR-5189-5p	131	hsa-mir-5189
hsa-miR-518a-5p	0	hsa-mir-518a-1
hsa-miR-518a-5p	0	hsa-mir-518a-2
hsa-miR-518c-5p	1	hsa-mir-518c
hsa-miR-518d-5p	1	hsa-mir-518d
hsa-miR-518e-5p	0	hsa-mir-518e
hsa-miR-518f-5p	1	hsa-mir-518f
hsa-miR-5195-5p	0	hsa-mir-5195
hsa-miR-5196-5p	0	hsa-mir-5196
hsa-miR-5197-5p	0	hsa-mir-5197
hsa-miR-519a-5p	0	hsa-mir-519a-1
hsa-miR-519b-5p	0	hsa-mir-519b
hsa-miR-519c-5p	0	hsa-mir-519c
hsa-miR-519d-5p	0	hsa-mir-519d
hsa-miR-519e-5p	0	hsa-mir-519e
hsa-miR-520a-5p	0	hsa-mir-520a
hsa-miR-520c-5p	1	hsa-mir-520c
hsa-miR-520d-5p	0	hsa-mir-520d
hsa-miR-520f-5p	0	hsa-mir-520f
hsa-miR-520g-5p	0	hsa-mir-520g
hsa-miR-522-5p	0	hsa-mir-522
hsa-miR-523-5p	0	hsa-mir-523
hsa-miR-524-5p	0	hsa-mir-524
hsa-miR-525-5p	0	hsa-mir-525
hsa-miR-526a	1	hsa-mir-526a-1
hsa-miR-526a	1	hsa-mir-526a-2
hsa-miR-526b-5p	1	hsa-mir-526b
hsa-miR-527	0	hsa-mir-527
hsa-miR-532-5p	40310	hsa-mir-532
hsa-miR-539-5p	0	hsa-mir-539
hsa-miR-541-5p	0	hsa-mir-541
hsa-miR-542-5p	91	hsa-mir-542
hsa-miR-545-5p	32	hsa-mir-545
hsa-miR-548a-5p	0	hsa-mir-548a-3
hsa-miR-548ab	14	hsa-mir-548ab
hsa-miR-548ad-5p	48	hsa-mir-548ad
hsa-miR-548ae-5p	44	hsa-mir-548ae-2
hsa-miR-548ag	1	hsa-mir-548ag-1
hsa-miR-548ag	0	hsa-mir-548ag-2
hsa-miR-548ah-5p	0	hsa-mir-548ah
hsa-miR-548ai	1	hsa-mir-548ai
hsa-miR-548aj-5p	450	hsa-mir-548aj-2
hsa-miR-548ak	8	hsa-mir-548ak
hsa-miR-548am-5p	17	hsa-mir-548am
hsa-miR-548an	17	hsa-mir-548an
hsa-miR-548ao-5p	0	hsa-mir-548ao
hsa-miR-548ap-5p	5	hsa-mir-548ap
hsa-miR-548aq-5p	0	hsa-mir-548aq
hsa-miR-548aq-3p	48	hsa-mir-548aq
hsa-miR-548ar-5p	402	hsa-mir-548ar
hsa-miR-548ar-3p	6	hsa-mir-548ar
hsa-miR-548as-5p	1	hsa-mir-548as
hsa-miR-548as-3p	0	hsa-mir-548as
hsa-miR-548at-5p	68	hsa-mir-548at
hsa-miR-548at-3p	35	hsa-mir-548at
hsa-miR-548au-5p	19	hsa-mir-548au
hsa-miR-548au-3p	0	hsa-mir-548au
hsa-miR-548av-5p	1	hsa-mir-548av
hsa-miR-548aw	9	hsa-mir-548aw
hsa-miR-548ax	0	hsa-mir-548ax
hsa-miR-548ay-5p	60	hsa-mir-548ay
hsa-miR-548az-5p	33	hsa-mir-548az
hsa-miR-548b-5p	21	hsa-mir-548b
hsa-miR-548ba	0	hsa-mir-548ba
hsa-miR-548bb-5p	0	hsa-mir-548bb
hsa-miR-548bb-3p	2	hsa-mir-548bb
hsa-miR-548c-5p	17	hsa-mir-548c
hsa-miR-548d-5p	64	hsa-mir-548d-1
hsa-miR-548d-5p	73	hsa-mir-548d-2
hsa-miR-548e-5p	119	hsa-mir-548e
hsa-miR-548f-5p	450	hsa-mir-548f-1
hsa-miR-548g-5p	450	hsa-mir-548g
hsa-miR-548h-5p	456	hsa-mir-548h-1
hsa-miR-548h-5p	456	hsa-mir-548h-2
hsa-miR-548h-5p	456	hsa-mir-548h-3
hsa-miR-548h-5p	456	hsa-mir-548h-4
hsa-miR-548h-5p	455	hsa-mir-548h-5
hsa-miR-548i	0	hsa-mir-548i-1
hsa-miR-548i	0	hsa-mir-548i-2
hsa-miR-548i	0	hsa-mir-548i-3
hsa-miR-548i	0	hsa-mir-548i-4
hsa-miR-548j-5p	27	hsa-mir-548j
hsa-miR-548k	257	hsa-mir-548k
hsa-miR-548l	10	hsa-mir-548l
hsa-miR-548m	0	hsa-mir-548m
hsa-miR-548n	0	hsa-mir-548n
hsa-miR-548o-5p	17	hsa-mir-548o-2
hsa-miR-548q	26	hsa-mir-548q
hsa-miR-548t-5p	1	hsa-mir-548t
hsa-miR-548w	7	hsa-mir-548w
hsa-miR-548x-5p	450	hsa-mir-548x
hsa-miR-548y	0	hsa-mir-548y
hsa-miR-550a-5p	2078	hsa-mir-550a-1
hsa-miR-550a-3-5p	2077	hsa-mir-550a-1
hsa-miR-550a-5p	2078	hsa-mir-550a-2
hsa-miR-550a-3-5p	2077	hsa-mir-550a-2
hsa-miR-550a-3-5p	179	hsa-mir-550a-3
hsa-miR-550b-2-5p	5	hsa-mir-550b-1
hsa-miR-550b-2-5p	5	hsa-mir-550b-2
hsa-miR-551b-5p	0	hsa-mir-551b
hsa-miR-552-5p	1	hsa-mir-552
hsa-miR-553	0	hsa-mir-553
hsa-miR-554	0	hsa-mir-554
hsa-miR-556-5p	3	hsa-mir-556
hsa-miR-5571-5p	0	hsa-mir-5571
hsa-miR-5579-5p	0	hsa-mir-5579
hsa-miR-5579-3p	0	hsa-mir-5579
hsa-miR-5580-5p	0	hsa-mir-5580
hsa-miR-5580-3p	0	hsa-mir-5580
hsa-miR-5581-5p	0	hsa-mir-5581
hsa-miR-5581-3p	279	hsa-mir-5581
hsa-miR-5582-5p	0	hsa-mir-5582
hsa-miR-5583-5p	0	hsa-mir-5583-1
hsa-miR-5583-3p	0	hsa-mir-5583-1
hsa-miR-5583-5p	0	hsa-mir-5583-2
hsa-miR-5583-3p	0	hsa-mir-5583-2
hsa-miR-5584-5p	6	hsa-mir-5584
hsa-miR-5584-3p	0	hsa-mir-5584
hsa-miR-5585-5p	2	hsa-mir-5585
hsa-miR-5585-3p	2	hsa-mir-5585
hsa-miR-5586-5p	0	hsa-mir-5586
hsa-miR-5586-3p	0	hsa-mir-5586
hsa-miR-5587-5p	7	hsa-mir-5587
hsa-miR-5587-3p	4	hsa-mir-5587
hsa-miR-5588-5p	6	hsa-mir-5588
hsa-miR-5589-5p	0	hsa-mir-5589
hsa-miR-5589-3p	0	hsa-mir-5589
hsa-miR-559	1	hsa-mir-559
hsa-miR-5590-5p	0	hsa-mir-5590
hsa-miR-5590-3p	0	hsa-mir-5590
hsa-miR-5591-5p	0	hsa-mir-5591
hsa-miR-561-5p	127	hsa-mir-561
hsa-miR-564	0	hsa-mir-564
hsa-miR-566	1	hsa-mir-566
hsa-miR-567	0	hsa-mir-567
hsa-miR-568	0	hsa-mir-568
hsa-miR-5681b	0	hsa-mir-5681b
hsa-miR-5683	4	hsa-mir-5683
hsa-miR-5684	1	hsa-mir-5684
hsa-miR-5685	0	hsa-mir-5685
hsa-miR-5689	2	hsa-mir-5689
hsa-miR-5690	1290	hsa-mir-5690
hsa-miR-5691	0	hsa-mir-5691
hsa-miR-5692a	0	hsa-mir-5692a-1
hsa-miR-5692a	0	hsa-mir-5692a-2
hsa-miR-5692b	0	hsa-mir-5692b
hsa-miR-5694	0	hsa-mir-5694
hsa-miR-5696	5	hsa-mir-5696
hsa-miR-5697	0	hsa-mir-5697
hsa-miR-5698	0	hsa-mir-5698
hsa-miR-5699-5p	0	hsa-mir-5699
hsa-miR-570-5p	1	hsa-mir-570
hsa-miR-5700	0	hsa-mir-5700
hsa-miR-5701	159	hsa-mir-5701-1
hsa-miR-5701	159	hsa-mir-5701-2
hsa-miR-5701	159	hsa-mir-5701-3
hsa-miR-5703	0	hsa-mir-5703
hsa-miR-5704	0	hsa-mir-5704
hsa-miR-5706	10	hsa-mir-5706
hsa-miR-5707	0	hsa-mir-5707
hsa-miR-5708	0	hsa-mir-5708
hsa-miR-573	0	hsa-mir-573
hsa-miR-574-5p	104	hsa-mir-574
hsa-miR-576-5p	29861	hsa-mir-576
hsa-miR-577	0	hsa-mir-577
hsa-miR-5787	0	hsa-mir-5787
hsa-miR-579-5p	73	hsa-mir-579
hsa-miR-580-5p	23	hsa-mir-580
hsa-miR-581	50	hsa-mir-581
hsa-miR-582-5p	22	hsa-mir-582
hsa-miR-583	0	hsa-mir-583
hsa-miR-584-5p	14339	hsa-mir-584
hsa-miR-585-5p	0	hsa-mir-585
hsa-miR-586	0	hsa-mir-586
hsa-miR-587	0	hsa-mir-587
hsa-miR-588	0	hsa-mir-588
hsa-miR-589-5p	13830	hsa-mir-589
hsa-miR-590-5p	0	hsa-mir-590
hsa-miR-591	0	hsa-mir-591
hsa-miR-592	1	hsa-mir-592
hsa-miR-593-5p	0	hsa-mir-593
hsa-miR-596	0	hsa-mir-596
hsa-miR-597-5p	0	hsa-mir-597
hsa-miR-598-5p	1	hsa-mir-598
hsa-miR-601	0	hsa-mir-601
hsa-miR-602	0	hsa-mir-602
hsa-miR-605-5p	18	hsa-mir-605
hsa-miR-6068	0	hsa-mir-6068
hsa-miR-6069	0	hsa-mir-6069
hsa-miR-6070	0	hsa-mir-6070
hsa-miR-6071	0	hsa-mir-6071
hsa-miR-6072	0	hsa-mir-6072
hsa-miR-6076	0	hsa-mir-6076
hsa-miR-6077	0	hsa-mir-6077
hsa-miR-6078	0	hsa-mir-6078
hsa-miR-6079	0	hsa-mir-6079
hsa-miR-608	0	hsa-mir-608
hsa-miR-6080	0	hsa-mir-6080
hsa-miR-6082	0	hsa-mir-6082
hsa-miR-6086	0	hsa-mir-6086
hsa-miR-6087	26	hsa-mir-6087
hsa-miR-6088	0	hsa-mir-6088
hsa-miR-609	4	hsa-mir-609
hsa-miR-6090	0	hsa-mir-6090
hsa-miR-610	65	hsa-mir-610
hsa-miR-612	0	hsa-mir-612
hsa-miR-6124	0	hsa-mir-6124
hsa-miR-6126	0	hsa-mir-6126
hsa-miR-6127	0	hsa-mir-6127
hsa-miR-6129	1	hsa-mir-6129
hsa-miR-6132	0	hsa-mir-6132
hsa-miR-615-5p	0	hsa-mir-615
hsa-miR-616-5p	1572	hsa-mir-616
hsa-miR-6165	0	hsa-mir-6165
hsa-miR-617	0	hsa-mir-617
hsa-miR-618	287	hsa-mir-618
hsa-miR-619-5p	11	hsa-mir-619
hsa-miR-623	0	hsa-mir-623
hsa-miR-624-5p	32	hsa-mir-624
hsa-miR-625-5p	595	hsa-mir-625
hsa-miR-627-5p	306	hsa-mir-627
hsa-miR-628-5p	116	hsa-mir-628
hsa-miR-629-5p	2809	hsa-mir-629
hsa-miR-631	0	hsa-mir-631
hsa-miR-635	0	hsa-mir-635
hsa-miR-638	0	hsa-mir-638
hsa-miR-641	927	hsa-mir-641
hsa-miR-642a-5p	13	hsa-mir-642a
hsa-miR-642b-5p	5	hsa-mir-642b
hsa-miR-647	0	hsa-mir-647
hsa-miR-648	0	hsa-mir-648
hsa-miR-6499-5p	0	hsa-mir-6499
hsa-miR-650	0	hsa-mir-650
hsa-miR-6500-5p	0	hsa-mir-6500
hsa-miR-6501-5p	170	hsa-mir-6501
hsa-miR-6502-5p	67	hsa-mir-6502
hsa-miR-6503-5p	59	hsa-mir-6503
hsa-miR-6504-5p	0	hsa-mir-6504
hsa-miR-6504-3p	0	hsa-mir-6504
hsa-miR-6505-5p	16	hsa-mir-6505
hsa-miR-6506-5p	1	hsa-mir-6506
hsa-miR-6507-5p	0	hsa-mir-6507
hsa-miR-6508-5p	3	hsa-mir-6508
hsa-miR-6508-3p	12	hsa-mir-6508
hsa-miR-6509-5p	3	hsa-mir-6509
hsa-miR-651-5p	19	hsa-mir-651
hsa-miR-6510-5p	0	hsa-mir-6510
hsa-miR-6510-3p	0	hsa-mir-6510
hsa-miR-6511a-5p	7	hsa-mir-6511a-1
hsa-miR-6511a-5p	7	hsa-mir-6511a-2
hsa-miR-6511a-5p	7	hsa-mir-6511a-3
hsa-miR-6511a-5p	7	hsa-mir-6511a-4
hsa-miR-6511b-5p	77	hsa-mir-6511b-1
hsa-miR-6511b-5p	77	hsa-mir-6511b-2
hsa-miR-6512-5p	0	hsa-mir-6512
hsa-miR-6513-5p	65	hsa-mir-6513
