aaa	aab	aac	aad	aae	aaf	aag	aah	aai	aaj	aak	aal	aam	aan	aao	aap	aaq	aar	aas	aat	aau	aav	aaw	aay	aaz	aba	abb	abc	abd	abe	abf	abg	abh	abi	abj	abk	abl	abm	abn	abo	abp	abq	abr	abs	abt	abu	abv	abw	aby	abz	aca	acb
hsa-miR-548x-5p	3	8	6	7	4	19	4	1	8	9	2	10	17	5	3	9	10	10	7	8	5	4	3	16	4	6	8	6	4	4	7	6	16	7	7	1	9	9	5	7	5	2	5	8	19	12	8	55	2	28	6	16
hsa-miR-548aj-5p	3	8	6	7	4	19	4	1	8	9	2	10	17	5	3	9	10	10	7	8	5	4	3	16	4	6	8	6	4	4	7	6	16	7	7	1	9	9	5	7	5	2	5	8	19	12	8	55	2	28	6	16
hsa-miR-548ar-5p	3	8	6	7	4	19	4	1	8	9	2	10	17	5	3	9	10	10	7	8	5	4	3	16	4	6	8	6	4	4	7	6	16	7	7	1	9	9	5	7	5	2	5	8	19	12	8	55	2	28	6	16
hsa-miR-548aq-3p	0	0	0	1	0	2	0	0	1	1	2	1	4	0	0	3	2	0	1	1	0	0	0	2	0	0	2	1	1	0	2	1	0	1	0	0	0	0	0	2	1	0	0	0	1	2	3	2	2	1	2	3
hsa-miR-548ar-5p	3	5	4	5	3	17	4	1	8	9	2	9	16	4	2	9	9	10	7	8	4	4	3	12	3	6	7	5	4	3	7	5	14	7	7	1	8	7	4	7	3	2	5	7	17	9	8	50	2	26	5	15
hsa-miR-548at-5p	1	0	0	0	2	2	3	1	2	1	4	2	1	0	0	2	1	8	1	0	1	1	1	1	3	0	2	0	0	1	2	2	0	2	3	0	3	1	1	0	1	0	0	1	0	2	1	6	0	1	0	1
hsa-miR-548ad-5p	1	0	1	2	0	2	1	3	1	0	1	1	0	3	0	1	1	1	5	0	0	0	2	2	1	0	1	0	1	4	0	3	3	1	1	0	2	1	1	0	1	0	0	2	2	0	1	3	1	2	0	2
hsa-miR-548ae-5p	1	0	1	2	0	2	1	3	1	0	1	1	0	3	0	1	1	1	5	0	0	0	2	2	1	0	1	0	1	4	0	3	3	1	1	0	2	1	1	0	1	0	0	2	2	0	1	3	1	2	0	2
hsa-miR-548ay-5p	1	0	1	2	0	2	1	3	1	0	1	1	0	3	0	1	1	1	5	0	0	0	2	2	1	0	1	0	1	4	0	3	3	1	1	0	2	1	1	0	1	0	0	2	2	0	1	3	1	2	0	2
hsa-miR-548d-5p	1	0	1	2	0	2	1	3	1	0	1	1	0	4	0	1	1	2	5	0	0	0	3	2	1	0	1	0	1	5	0	4	2	1	1	0	2	1	1	0	1	0	0	2	2	0	1	3	1	2	0	2
hsa-miR-548ad-5p	1	0	1	2	0	2	1	3	1	0	1	1	0	4	0	1	1	2	5	0	0	0	3	2	1	0	1	0	1	5	0	4	2	1	1	0	2	1	1	0	1	0	0	2	2	0	1	3	1	2	0	2
hsa-miR-548ae-5p	1	0	1	2	0	2	1	3	1	0	1	1	0	4	0	1	1	2	5	0	0	0	3	2	1	0	1	0	1	5	0	4	2	1	1	0	2	1	1	0	1	0	0	2	2	0	1	3	1	2	0	2
hsa-miR-548ay-5p	1	0	1	2	0	2	1	3	1	0	1	1	0	4	0	1	1	2	5	0	0	0	3	2	1	0	1	0	1	5	0	4	2	1	1	0	2	1	1	0	1	0	0	2	2	0	1	3	1	2	0	2
hsa-miR-548d-5p	1	0	1	4	0	2	1	3	1	0	1	1	0	4	0	1	1	2	5	1	0	0	4	2	1	0	1	0	1	5	0	4	2	1	2	0	2	1	1	0	1	0	0	2	3	0	1	5	1	3	0	2
hsa-miR-548ad-5p	1	0	1	4	0	2	1	3	1	0	1	1	0	4	0	1	1	2	5	1	0	0	4	2	1	0	1	0	1	5	0	4	2	1	2	0	2	1	1	0	1	0	0	2	3	0	1	5	1	3	0	2
hsa-miR-548ae-5p	1	0	1	4	0	2	1	3	1	0	1	1	0	4	0	1	1	2	5	1	0	0	4	2	1	0	1	0	1	5	0	4	2	1	2	0	2	1	1	0	1	0	0	2	3	0	1	5	1	3	0	2
hsa-miR-548ay-5p	1	0	1	4	0	2	1	3	1	0	1	1	0	4	0	1	1	2	5	1	0	0	4	2	1	0	1	0	1	5	0	4	2	1	2	0	2	1	1	0	1	0	0	2	3	0	1	5	1	3	0	2
hsa-miR-548e-5p	0	0	5	4	0	3	4	2	1	1	2	0	3	1	0	3	2	5	3	4	0	4	2	2	6	2	4	2	1	6	0	3	4	6	2	0	2	1	0	2	0	1	3	1	3	2	6	2	1	3	3	2
hsa-miR-548f-5p	3	8	6	7	4	19	4	1	8	9	2	9	18	5	3	9	10	10	7	8	5	4	3	16	5	6	8	6	4	4	7	6	16	7	7	1	9	9	5	7	5	2	5	8	19	12	8	55	2	27	6	16
hsa-miR-548g-5p	3	8	6	7	4	19	4	1	8	9	2	10	17	5	3	9	10	10	7	8	5	4	3	16	4	6	8	6	4	4	7	6	16	7	7	1	9	9	5	7	5	2	5	8	19	12	8	55	2	28	6	16
hsa-miR-548x-5p	3	8	6	7	4	19	4	1	8	9	2	10	17	5	3	9	10	10	7	8	5	4	3	16	4	6	8	6	4	4	7	6	16	7	7	1	9	9	5	7	5	2	5	8	19	12	8	55	2	28	6	16
hsa-miR-548aj-5p	3	8	6	7	4	19	4	1	8	9	2	10	17	5	3	9	10	10	7	8	5	4	3	16	4	6	8	6	4	4	7	6	16	7	7	1	9	9	5	7	5	2	5	8	19	12	8	55	2	28	6	16
hsa-miR-548ar-5p	3	8	6	7	4	19	4	1	8	9	2	10	17	5	3	9	10	10	7	8	5	4	3	16	4	6	8	6	4	4	7	6	16	7	7	1	9	9	5	7	5	2	5	8	19	12	8	55	2	28	6	16
hsa-miR-548h-5p	3	8	6	7	4	19	4	1	9	9	2	9	18	5	3	9	11	10	7	8	5	4	3	17	4	6	8	6	4	4	7	6	16	7	7	2	9	9	6	7	5	2	5	9	19	12	8	56	2	27	6	16
hsa-miR-548h-5p	3	8	6	7	4	19	4	1	9	9	2	9	18	5	3	9	11	10	7	8	5	4	3	17	4	6	8	6	4	4	7	6	16	7	7	2	9	9	6	7	5	2	5	9	19	12	8	56	2	27	6	16
hsa-miR-548h-5p	3	8	6	7	4	19	4	1	9	9	2	9	18	5	3	9	11	10	7	8	5	4	3	17	4	6	8	6	4	4	7	6	16	7	7	2	9	9	6	7	5	2	5	9	19	12	8	56	2	27	6	16
hsa-miR-548h-5p	3	8	6	7	4	19	4	1	9	9	2	9	18	5	3	9	11	10	7	8	5	4	3	17	4	6	8	6	4	4	7	6	16	7	7	2	9	9	6	7	5	2	5	9	19	12	8	56	2	27	6	16
hsa-miR-548h-5p	3	8	6	7	4	19	4	1	9	9	2	9	18	5	3	9	11	10	7	8	5	4	3	17	4	6	8	6	4	4	7	6	16	7	7	1	9	9	6	7	5	2	5	9	19	12	8	56	2	27	6	16
hsa-miR-548k	4	2	3	5	7	14	5	1	3	6	5	4	7	7	1	7	2	7	20	6	0	3	13	8	4	1	3	4	4	12	3	1	4	4	6	0	9	2	5	1	0	1	0	5	0	7	4	21	1	9	0	6
hsa-miR-548av-5p	4	2	3	5	7	14	5	1	3	6	5	4	7	7	1	7	2	7	20	6	0	3	13	8	4	1	3	4	4	12	3	1	4	4	6	0	9	2	5	1	0	1	0	5	0	7	4	21	1	9	0	6
hsa-miR-548g-5p	3	8	6	7	4	19	4	1	8	9	2	10	17	5	3	9	10	10	7	8	5	4	3	16	4	6	8	6	4	4	7	6	16	7	7	1	9	9	5	7	5	2	5	8	19	12	8	55	2	28	6	16
hsa-miR-548x-5p	3	8	6	7	4	19	4	1	8	9	2	10	17	5	3	9	10	10	7	8	5	4	3	16	4	6	8	6	4	4	7	6	16	7	7	1	9	9	5	7	5	2	5	8	19	12	8	55	2	28	6	16
hsa-miR-548aj-5p	3	8	6	7	4	19	4	1	8	9	2	10	17	5	3	9	10	10	7	8	5	4	3	16	4	6	8	6	4	4	7	6	16	7	7	1	9	9	5	7	5	2	5	8	19	12	8	55	2	28	6	16
hsa-miR-548ar-5p	3	8	6	7	4	19	4	1	8	9	2	10	17	5	3	9	10	10	7	8	5	4	3	16	4	6	8	6	4	4	7	6	16	7	7	1	9	9	5	7	5	2	5	8	19	12	8	55	2	28	6	16
hsa-miR-550a-5p	31	24	33	25	40	34	38	27	26	41	93	30	24	49	10	45	51	50	63	32	57	43	72	60	58	39	74	39	51	25	20	53	34	57	34	14	48	39	22	46	32	7	23	27	33	58	71	27	30	50	20	49
hsa-miR-550a-3-5p	31	24	33	25	40	34	38	27	26	41	93	30	24	49	10	45	51	50	63	32	57	43	72	60	58	39	74	39	51	25	20	53	34	57	33	14	48	39	22	46	32	7	23	27	33	58	71	27	30	50	20	49
hsa-miR-550a-5p	31	24	33	25	40	34	38	27	26	41	93	30	24	49	10	45	51	50	63	32	57	43	72	60	58	39	74	39	51	25	20	53	34	57	34	14	48	39	22	46	32	7	23	27	33	58	71	27	30	50	20	49
hsa-miR-550a-3-5p	31	24	33	25	40	34	38	27	26	41	93	30	24	49	10	45	51	50	63	32	57	43	72	60	58	39	74	39	51	25	20	53	34	57	33	14	48	39	22	46	32	7	23	27	33	58	71	27	30	50	20	49
hsa-miR-550a-3-5p	2	1	5	1	1	2	1	5	7	3	5	2	4	10	1	1	3	1	6	5	1	2	0	4	2	1	6	2	3	1	6	6	1	1	9	2	3	9	2	9	3	2	0	3	5	4	6	5	3	1	5	6
hsa-miR-5581-3p	10	5	5	7	8	10	6	11	0	11	9	2	5	3	3	8	7	1	3	3	3	8	5	8	5	2	2	4	6	2	2	3	5	7	7	4	5	4	9	9	4	1	2	3	9	5	9	3	5	12	6	3
hsa-miR-561-5p	9	1	0	1	1	0	1	1	0	0	7	1	2	1	0	1	8	1	1	0	4	2	0	0	0	0	4	2	0	1	0	2	1	13	2	0	1	0	0	0	0	0	0	6	13	17	8	1	1	1	3	9
hsa-miR-5690	26	14	18	16	22	13	9	18	24	56	17	15	36	23	15	15	16	9	22	16	23	19	24	22	22	10	23	17	34	10	18	13	16	28	18	11	13	23	19	18	25	2	34	42	54	52	25	15	61	50	83	66
hsa-miR-5701	1	0	0	0	2	0	1	1	4	4	2	2	3	0	0	2	3	12	10	0	2	3	0	3	2	8	10	3	2	1	1	1	6	2	2	3	0	0	3	2	2	13	6	6	12	9	2	3	0	1	2	2
hsa-miR-5701	1	0	0	0	2	0	1	1	4	4	2	2	3	0	0	2	3	12	10	0	2	3	0	3	2	8	10	3	2	1	1	1	6	2	2	3	0	0	3	2	2	13	6	6	12	9	2	3	0	1	2	2
hsa-miR-5701	1	0	0	0	2	0	1	1	4	4	2	2	3	0	0	2	3	12	10	0	2	3	0	3	2	8	10	3	2	1	1	1	6	2	2	3	0	0	3	2	2	13	6	6	12	9	2	3	0	1	2	2
hsa-miR-574-5p	2	1	0	3	2	6	7	3	2	1	1	4	4	1	0	2	2	3	3	1	0	2	1	1	2	2	1	0	1	0	0	5	5	3	2	0	6	0	0	3	0	3	0	3	5	1	2	6	0	1	0	1
hsa-miR-576-5p	627	417	500	364	455	460	469	741	841	763	703	539	1891	491	147	449	883	404	671	444	726	757	517	742	618	469	843	523	514	462	550	338	405	708	393	351	507	454	326	407	397	80	217	716	1798	735	530	286	438	620	567	608
hsa-miR-579-5p	1	0	2	3	0	5	0	1	2	0	1	2	1	1	0	3	0	2	6	0	0	3	0	3	5	1	1	1	1	3	1	3	2	1	1	0	0	0	1	1	0	1	1	0	3	2	2	1	0	4	0	1
hsa-miR-581	2	1	0	3	0	0	0	0	1	2	0	1	2	1	1	0	1	3	1	1	3	1	2	0	0	0	1	1	0	1	0	0	2	0	1	0	1	1	0	0	0	1	0	2	1	3	1	2	2	2	1	1
hsa-miR-584-5p	197	205	166	296	360	357	303	303	298	181	273	195	670	367	52	547	325	231	431	317	245	326	291	366	352	264	397	389	199	369	298	242	271	275	251	198	404	230	307	202	111	156	94	137	202	166	196	720	89	323	94	237
hsa-miR-589-5p	241	168	194	255	242	279	229	107	258	262	260	238	438	263	57	285	292	257	372	219	268	253	171	251	254	183	233	265	271	245	182	235	289	472	291	109	272	187	185	174	146	105	275	444	270	534	354	247	302	524	347	581
hsa-miR-610	1	0	1	1	0	2	1	2	1	2	0	2	2	4	1	1	1	4	1	3	2	3	2	2	0	1	1	2	0	3	1	1	2	2	2	0	0	2	2	1	0	1	0	0	0	2	1	2	0	0	0	0
hsa-miR-616-5p	23	20	40	16	20	29	26	14	40	42	32	38	52	39	3	18	31	29	51	42	32	54	24	35	25	48	31	25	32	27	20	40	37	51	39	16	23	14	21	24	18	7	14	52	62	44	31	24	25	27	16	29
hsa-miR-618	8	2	3	5	10	4	6	3	6	0	0	8	8	11	1	12	5	3	2	2	8	2	0	4	5	7	0	5	5	3	2	6	5	5	1	2	1	2	2	3	3	0	1	26	15	15	1	13	7	18	14	7
hsa-miR-625-5p	6	6	8	10	8	2	6	9	8	9	12	9	7	13	1	16	19	10	18	11	12	10	9	18	18	9	16	10	10	5	6	24	15	27	7	4	10	9	10	15	11	5	4	14	12	25	12	11	5	12	35	17
hsa-miR-627-5p	3	3	5	5	4	6	4	4	5	7	13	10	7	11	0	11	7	7	10	2	4	6	4	4	10	11	4	8	2	3	5	3	2	4	4	0	7	5	4	2	1	2	4	6	16	9	23	6	5	7	5	6
hsa-miR-628-5p	2	1	1	3	2	0	2	1	2	3	1	7	4	1	0	0	2	3	2	1	3	3	4	1	1	2	2	0	3	0	3	0	2	7	1	0	0	1	2	2	1	0	2	3	11	4	0	9	2	1	4	4
hsa-miR-629-5p	42	32	47	68	31	54	46	51	51	18	37	81	71	49	4	36	66	125	81	58	21	69	45	64	78	55	67	58	42	77	34	103	70	101	85	26	37	32	24	46	30	61	62	83	34	121	55	91	20	40	8	22
hsa-miR-641	11	10	15	5	7	19	13	10	25	19	27	16	20	23	1	24	19	19	38	14	24	15	18	17	20	12	29	15	17	11	13	24	19	38	9	7	32	26	18	13	14	0	5	18	19	32	25	22	11	23	12	34
hsa-miR-6501-5p	7	2	2	7	3	5	2	1	6	2	9	3	6	6	0	6	1	3	2	2	2	2	2	3	7	1	6	1	4	4	3	4	3	3	1	1	7	1	3	1	1	0	5	5	3	8	2	4	2	1	2	3
hsa-miR-6503-5p	0	0	0	0	1	0	0	3	4	2	1	1	2	1	0	1	1	5	1	1	4	0	0	2	0	2	1	0	1	0	0	1	1	2	1	0	1	0	0	3	0	0	5	2	2	3	0	0	0	0	1	3
hsa-miR-6511b-5p	2	4	1	0	1	2	1	2	1	0	0	0	2	3	1	5	2	2	2	2	1	0	1	1	2	0	1	1	1	0	0	4	4	1	1	3	3	1	3	4	1	1	2	2	2	1	0	1	0	2	0	0
hsa-miR-6511b-5p	2	4	1	0	1	2	1	2	1	0	0	0	2	3	1	5	2	2	2	2	1	0	1	1	2	0	1	1	1	0	0	4	4	1	1	3	3	1	3	4	1	1	2	2	2	1	0	1	0	2	0	0
hsa-miR-6511b-5p	2	4	1	0	1	2	1	2	1	0	0	0	2	3	1	5	2	2	2	2	1	0	1	1	2	0	1	1	1	0	0	4	4	1	1	3	3	1	3	4	1	1	2	2	2	1	0	1	0	2	0	0
hsa-miR-6511b-5p	2	4	1	0	1	2	1	2	1	0	0	0	2	3	1	5	2	2	2	2	1	0	1	1	2	0	1	1	1	0	0	4	4	1	1	3	3	1	3	4	1	1	2	2	2	1	0	1	0	2	0	0
hsa-miR-6511b-5p	2	4	1	0	1	2	1	2	1	0	0	0	2	3	1	5	2	2	2	2	1	0	1	1	2	0	1	1	1	0	0	4	4	1	1	3	3	1	3	4	1	1	2	2	2	1	0	1	0	2	0	0
hsa-miR-6511b-5p	2	4	1	0	1	2	1	2	1	0	0	0	2	3	1	5	2	2	2	2	1	0	1	1	2	0	1	1	1	0	0	4	4	1	1	3	3	1	3	4	1	1	2	2	2	1	0	1	0	2	0	0
hsa-miR-6513-5p	0	0	1	1	1	0	0	1	4	0	1	4	0	1	0	0	3	4	1	1	1	1	1	2	2	1	5	0	0	0	1	2	0	1	1	0	2	0	1	2	1	0	1	2	2	2	4	2	0	0	2	3
hsa-miR-6514-5p	2	2	2	2	3	4	0	1	0	1	1	4	4	3	0	2	0	1	4	4	2	1	4	2	3	3	2	0	2	2	3	1	1	2	1	2	10	1	4	2	3	2	5	3	2	3	1	0	1	3	2	3
hsa-miR-652-5p	1	2	0	2	0	1	1	1	1	0	0	0	2	0	0	2	3	0	3	0	1	4	1	0	0	1	2	0	2	1	2	2	0	3	1	0	2	1	2	0	1	0	0	4	1	2	0	0	0	0	1	0
hsa-miR-659-5p	8	17	19	20	6	18	15	13	26	18	29	11	27	22	6	20	30	8	25	12	19	12	16	21	17	15	18	21	15	12	10	14	13	11	19	12	24	13	18	29	4	4	17	21	92	37	27	34	14	25	46	24
hsa-miR-660-5p	71	55	67	70	80	101	88	54	71	47	89	85	103	78	12	124	106	157	161	63	53	82	83	102	76	54	75	79	71	66	61	37	58	96	65	17	81	50	46	47	38	43	91	145	178	151	100	290	63	141	191	206
hsa-miR-664a-5p	1	0	2	1	0	1	2	1	4	1	2	0	1	1	1	1	0	0	1	4	1	5	2	2	2	1	5	1	1	3	0	0	0	1	1	1	1	2	2	1	2	1	0	0	1	0	4	7	0	2	0	1
hsa-miR-671-5p	3	3	0	1	0	2	2	1	0	0	0	1	1	1	0	0	3	1	1	3	1	1	0	1	1	1	0	3	0	0	1	1	0	0	0	0	1	0	2	1	4	0	0	1	4	3	2	1	1	3	2	1
hsa-miR-6735-5p	3	1	2	1	3	4	2	2	1	0	1	0	2	2	0	1	2	0	3	0	4	3	0	1	3	1	2	2	1	2	2	3	0	0	3	0	0	3	0	2	0	1	2	6	2	1	3	0	1	2	1	0
hsa-miR-6770-3p	0	0	1	0	1	0	0	0	1	1	0	1	1	0	0	1	1	3	0	1	0	0	1	2	4	2	2	2	0	0	0	0	1	0	2	0	1	2	1	1	0	0	1	0	0	1	2	2	3	1	1	6
hsa-miR-6770-3p	0	0	1	0	1	0	0	0	1	1	0	1	1	0	0	1	1	3	0	1	0	0	1	2	4	2	2	2	0	0	0	0	1	0	2	0	1	2	1	1	0	0	1	0	0	1	2	2	3	1	1	6
hsa-miR-6770-3p	0	0	1	0	1	0	0	0	1	1	0	1	1	0	0	1	1	3	0	1	0	0	1	2	4	2	2	2	0	0	0	0	1	0	2	0	1	2	1	1	0	0	1	0	0	1	2	2	3	1	1	6
hsa-miR-6780a-5p	3	1	0	0	1	2	0	1	0	0	0	1	2	0	0	0	3	1	0	1	1	1	1	0	1	1	2	1	0	0	0	1	0	2	0	1	1	3	0	1	1	0	0	0	0	0	1	0	0	1	0	0
hsa-miR-6783-5p	1	3	3	3	0	4	0	3	0	0	3	1	4	1	0	3	1	0	1	1	0	2	4	2	3	0	0	2	0	3	1	1	0	2	2	0	2	3	3	2	1	0	0	1	4	3	0	2	0	1	0	2
hsa-miR-6840-5p	9	3	7	0	19	4	9	0	2	3	4	4	9	0	0	0	3	3	1	3	6	11	2	26	5	2	3	0	4	2	1	3	5	11	3	4	1	20	2	8	2	2	19	13	8	2	1	7	1	6	3	1
hsa-miR-6852-5p	4	2	7	7	5	4	9	4	7	8	4	3	6	8	5	11	14	7	5	4	1	3	8	7	11	8	8	10	9	4	9	7	4	9	9	6	3	7	4	6	6	3	13	6	6	14	6	19	6	6	10	11
hsa-miR-6852-3p	2	3	2	1	2	2	2	1	1	1	0	2	4	1	1	0	1	0	5	0	0	1	0	1	1	0	1	0	0	1	2	1	3	3	1	2	2	1	0	2	1	0	0	1	4	4	2	1	1	2	1	1
hsa-miR-6859-5p	3	2	2	1	2	3	1	1	4	4	4	1	3	1	0	2	3	1	4	3	3	0	1	1	0	5	3	3	1	0	1	3	3	2	3	2	3	1	1	2	1	2	1	6	3	0	2	2	0	2	0	2
hsa-miR-6859-5p	3	2	2	1	2	3	1	1	4	4	4	1	3	1	0	2	3	1	4	3	3	0	1	1	0	5	3	3	1	0	1	3	3	2	3	2	3	1	1	2	1	2	1	6	3	0	2	2	0	2	0	2
hsa-miR-6859-5p	3	2	2	1	2	3	1	1	4	4	4	1	3	1	0	2	3	1	4	3	3	0	1	1	0	5	3	3	1	0	1	3	3	2	3	2	3	1	1	2	1	2	1	6	3	0	2	2	0	2	0	2
hsa-miR-6859-5p	3	2	2	1	2	3	1	1	4	4	4	1	3	1	0	2	3	1	4	3	3	0	1	1	0	5	3	3	1	0	1	3	3	2	3	2	3	1	1	2	1	2	1	6	3	0	2	2	0	2	0	2
hsa-miR-6866-5p	2	0	0	1	2	2	0	0	1	1	4	4	8	1	0	4	5	0	9	2	1	4	1	3	1	0	2	1	1	0	2	1	2	4	1	1	1	0	1	2	0	0	1	0	1	0	2	2	1	2	1	2
hsa-miR-6868-3p	1	8	30	0	9	20	13	4	30	27	0	21	77	1	1	24	16	0	17	5	22	1	0	12	1	26	0	9	0	19	25	0	15	24	25	11	10	16	16	20	9	8	7	18	0	16	4	6	18	0	17	15
hsa-miR-6894-3p	3	3	1	3	2	3	1	7	2	2	1	2	5	4	2	2	3	2	4	4	3	5	0	5	2	1	2	2	2	2	2	2	5	6	5	3	2	3	1	3	1	1	2	0	2	7	2	4	0	1	1	3
hsa-miR-7-5p	9	3	6	4	2	9	7	4	8	4	2	7	12	6	0	6	4	13	9	5	3	18	9	2	2	4	8	2	4	16	3	13	12	16	10	3	13	7	4	1	0	4	3	13	7	8	10	16	1	8	1	1
hsa-miR-7-5p	9	3	6	4	2	9	7	4	8	4	2	7	12	6	0	6	4	13	9	5	3	18	9	2	2	4	8	2	4	16	3	13	12	16	10	3	13	7	4	1	0	4	3	13	7	8	10	16	1	9	1	1
hsa-miR-7-5p	9	3	6	4	2	9	7	4	8	4	2	7	12	6	0	6	4	13	9	5	3	18	9	2	2	4	8	2	4	16	3	13	12	16	10	3	13	7	4	1	0	4	3	13	7	8	10	16	1	8	1	1
hsa-miR-7155-3p	1	0	1	2	3	0	1	2	0	2	4	3	2	3	0	1	0	2	3	0	2	1	2	2	0	2	1	1	3	1	0	4	2	4	0	1	1	3	3	0	3	0	1	0	2	7	0	2	1	3	2	2
hsa-miR-744-5p	153	146	188	107	138	143	123	120	194	148	153	148	221	206	34	207	198	277	281	127	107	139	156	224	197	264	230	219	156	116	144	185	212	155	172	99	184	172	116	164	100	98	290	112	228	185	139	240	127	160	91	189
hsa-miR-7641	4	6	7	5	7	6	5	6	9	9	14	5	10	8	6	15	8	5	11	6	7	10	6	7	10	3	10	10	6	5	7	11	5	10	8	3	3	6	1	10	3	5	6	6	16	9	3	17	8	3	4	11
hsa-miR-7641	4	6	7	5	7	6	5	6	9	9	14	5	10	8	6	15	8	5	11	6	7	10	6	7	10	3	10	10	6	5	7	11	5	10	8	3	3	6	1	10	3	5	6	6	16	9	3	17	8	3	4	11
hsa-miR-769-5p	56	38	48	56	56	41	50	22	44	45	49	44	76	76	14	65	75	119	64	40	31	47	48	66	57	56	63	66	38	58	32	68	48	72	69	19	61	36	42	48	34	21	163	98	459	174	89	264	81	95	276	331
hsa-miR-7704	5	4	3	5	0	0	3	0	2	1	12	2	6	1	0	2	1	3	3	0	3	2	1	0	6	2	4	2	3	2	1	1	4	1	1	0	4	3	1	6	3	1	4	1	1	1	1	3	3	1	0	1
hsa-miR-7855-5p	4	2	3	1	5	3	6	7	7	4	6	3	5	5	0	5	12	9	13	5	3	5	5	13	7	0	6	13	7	5	2	11	5	8	9	3	6	6	3	8	5	3	11	5	6	3	7	5	5	3	5	13
hsa-miR-7976	59	62	49	51	79	54	67	55	65	94	88	44	102	78	31	48	77	49	67	67	73	82	55	84	78	51	72	72	56	62	61	103	88	101	53	28	68	64	48	44	42	20	39	72	102	84	76	46	47	69	48	100
hsa-miR-7977	9	2	11	6	7	8	6	11	12	9	11	9	7	6	2	8	10	4	6	8	10	8	9	7	7	12	3	11	5	6	14	7	11	8	9	3	8	8	6	8	5	1	1	10	9	16	13	2	13	12	4	10
hsa-miR-874-5p	4	4	7	2	3	6	5	1	4	1	2	4	3	7	0	1	3	3	6	3	3	4	5	3	3	1	1	4	4	4	2	3	7	4	3	2	8	4	1	3	3	0	1	4	5	3	4	10	3	4	3	7
hsa-miR-877-5p	9	3	1	7	3	3	3	5	2	1	3	5	10	6	1	4	8	4	5	2	4	6	0	3	3	11	5	0	5	3	4	8	7	3	6	3	9	2	4	3	1	5	2	2	5	3	8	9	2	3	2	1
hsa-miR-92b-5p	1	2	1	1	0	0	2	1	1	0	1	0	1	1	0	1	0	1	1	0	0	2	1	0	1	0	1	3	1	2	1	2	1	1	1	1	1	0	2	1	0	0	1	3	1	2	1	0	0	1	0	0
hsa-miR-93-5p	4636	3874	3958	5876	3084	5536	5706	3131	4865	2258	5112	6737	7385	5967	307	8667	3759	5011	7761	4134	2874	6566	4968	3479	6122	4897	7062	4452	2666	9578	3687	5370	5541	5562	11071	2645	5048	2794	3701	3464	2055	1359	1189	3629	3411	5694	4940	26502	1427	5747	1123	1639
hsa-miR-939-5p	1	2	5	6	1	6	1	2	0	1	2	1	1	1	0	1	2	1	0	0	1	3	4	3	1	1	0	4	0	3	1	1	1	0	2	3	4	2	1	3	0	1	1	0	2	4	0	4	0	1	0	2
hsa-miR-942-5p	293	221	230	180	266	221	239	237	321	343	280	269	580	250	46	178	286	287	353	183	322	288	201	332	272	365	377	230	227	266	211	223	295	345	156	260	232	199	169	157	151	32	79	149	179	464	171	59	127	164	74	189
hsa-miR-96-5p	44	10	14	23	23	14	29	20	13	20	12	15	20	25	1	11	14	11	17	11	14	14	28	4	14	3	8	4	3	17	4	19	6	11	4	2	14	8	4	5	6	1	3	9	4	9	2	119	5	26	17	22
hsa-miR-98-5p	52	23	71	102	59	170	54	38	68	97	50	66	108	87	31	74	51	123	78	96	43	72	141	93	58	78	120	66	53	108	59	71	84	98	96	49	130	84	45	64	34	44	47	35	150	60	31	467	25	136	42	108
hsa-miR-99a-5p	18	12	43	28	17	29	36	15	29	17	15	18	61	16	17	41	22	5	30	18	18	17	20	21	17	9	4	24	25	20	22	21	14	13	21	4	28	23	21	43	17	1	5	63	48	57	68	73	16	47	39	94
hsa-miR-99b-5p	187	82	251	201	208	202	210	109	117	177	131	90	221	157	38	94	120	39	99	89	78	167	128	146	159	33	80	96	75	118	142	101	93	90	92	47	103	128	102	178	64	16	50	89	88	231	271	210	160	202	203	161
